name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Etrit Berisha,Albania,"Four years ago, while Spain were winning their second consecutive European Championship, Berisha was playing for Kalmar FF in Sweden. Gianni De Biasi gave him the chance to show his value with the national team in a friendly against Iran in May 2012, and by the end of the year he became a regular starter. He was signed by Lazio the following year, although he has largely had a backup role. If it goes down to penalties for Albania in France, expect him not only to save some but also to be one of the takers. He was a regular penalty taker for Kalmar, with four goals to his name domestically and in the Europa League.",yes,No1 goalkeeper,Goalkeeper,,34,0,Lazio,Serie A (Italy),10/3/89,,,,
Orges Shehi,Albania,"The veteran goalkeeper has shown his value with Skënderbeu in European competitions in recent years – playing a central role in this season’s campaign, in which the club reached the Europa League group stages for the first time. His first call-up for the national team came back in 1998, but he was not selected again for more than a decade, finally making his first appearance in November 2010 in a friendly against Macedonia.",yes,,Goalkeeper,,8,0,Skënderbeu,Superliga (Albania),20/09/1977,,,,
Alban Hoxha,Albania,"Hoxha became the national team’s third-choice goalkeeper after shooting to prominence in the 2014-2015 season when he broke a 30-year old Albanian championship record – remaining unbeaten for 1,084 minutes.",yes,,Goalkeeper,,1,0,Partizani,Superliga (Albania),23/11/1987,,,,
Lorik Cana,Albania,"The midfielder turned central defender is bound to end his international career after this summer’s tournament as the player with most appearances for Albania. His first game was a substitute against Switzerland on 11 June 2003. Exactly 13 years later, on the same day and against the same team, he will captain Albania on their debut in a major tournament (injuries permitting). A fitting end for probably the best Albanian player of his generation.",yes,Captain,Defender,,90,1,Nantes,Ligue 1 (France),27/07/1983,,,,
Mërgim Mavraj,Albania,"Mavraj and the Albanian FA were in contact since 2006, and the Hanau-born defender was quickly provided with an Albanian passport. But he made a U-turn after being called up to Germany Under-21s, whom he represented in two friendly matches. He was subsequently labelled a “traitor” by the Albanian fans for refusing to wear the red and black shirt, and his decision to join the team in May 2012 – after some persuasion from De Biasi – received mixed reactions. By the start of the 2014 World Cup qualifiers he had become a fan favorite and now is tipped to become the next captain of the national team.",yes,,Defender,,25,3,Köln,Bundesliga (Germany),9/6/86,,,,
Elseid Hysaj,Albania,"The defender made his national team debut at the age of 18 in a friendly against Georgia, while still playing in Serie B with Empoli. His father, an immigrant working in construction in Italy, convinced a football agent whose house he was building to secure the 14-year-old Hysaj trials with Italian clubs. Empoli snatched the young teenager and the rest is history, with Hysaj now a starter for Napoli and one of the most sought-after right-backs in Europe.",yes,,Defender,,19,0,Napoli,Serie A (Italy),20/02/1994,,,,
Ansi Agolli,Albania,"The left-footed defender is one of the most travelled football players of the Albania squad. After his breakthrough at hometown KF Tirana in 2000, he moved abroad – playing in Switzerland, Finland, Ukraine and Azerbaijan. This summer he will become the first player from the Azerbaijani Premier League to feature in a European Championship.",yes,Unsung hero,Defender,,60,2,Qarabağ,Premier League (Azerbaijan),11/10/82,,,,
Arlind Ajeti,Albania,"Although previously capped by Switzerland at all youth levels, Ajeti decided to commit to Albania at the age of 21, making his debut in the friendly draw against France in November 2014. He played his first official matches against Denmark and Portugal in September 2015, although he was a free agent and had spent the summer training on his own.",yes,,Defender,,9,1,Frosinone,Serie A (Italy),25/09/1993,,,,
Naser Aliji,Albania,"Born in Kumanovo, Macedonia, Aliji moved to Switzerland with his family when he was four years old. He opted to represent the Swiss after breaking into Basel’s youth team, but as soon as he received a call from the Albanian FA he had no second thoughts about joining the national team – becoming the first Albanian from Macedonia to do so.",yes,,Defender,,5,0,Basel,Super League (Switzerland),27/12/1993,,,,
Frédéric Veseli,Albania,"The captain of the World Cup-winning Switzerland Under-17s of 2009, Veseli was tipped to become the next big thing in Swiss football. However, he could not break through at Manchester City and then Manchester United, moving to the lower tiers of English football with Ipswich Town, Bury and Port Vale before returning to Switzerland. Forgotten by the Swiss, he was brought into the Albania setup last year as a backup for Hysaj. The one main surprise in De Biasi's 23 as he had not impressed in his three games for the national team and only joined up with the rest of the squad two days before the announcement. ",yes,,Defender,,3,0,Lugano,Super League (Switzerland),20/11/1992,,,,
Taulant Xhaka,Albania,"Defender or midfielder; left, right or centre: Taulant Xhaka can play everywhere and he has proved so continuously with Basel in the Swiss championship and Europe. Less famous than his younger brother Granit, who has excelled for club and country (Switzerland) since he was a teenager, Taulant decided to join Albania before the Euro 2016 qualifiers, establishing himself very quickly as a no-holds-barred midfielder and a fan favourite. A twist of fate will put him against his brother in Albania’s first game of Euro 2016, in one of the special stories of this summer’s tournament.",yes,Hard man,Midfielder,,11,0,Basel,Super League (Switzerland),28/03/1991,,,,
Amir Abrashi,Albania,"A Swiss-born midfielder with Albanian parents, who had immigrated from Kosovo, Abrashi was a prominent member of the Switzerland Under-21s that finished as runners-up in the 2011 European Championship. He held discussions with both De Biasi and Ottmar Hitzfeld, the then coach of Switzerland, before opting for Albania in 2013. After a difficult start with the red and blacks, he became a regular during the Euro 2016 qualifiers and played seven matches, six as a starter.",yes,,Midfielder,,17,0,Freiburg,2. Bundesliga (Germany),27/03/1990,,,,
