name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Danijel Subašić,Croatia,"Monaco’s keeper finally became first choice for Croatia after the 2014 World Cup, having been stuck behind/served as a loyal stand-in for No1 Stipe Pletikosa for years. Mentally strong with great reflexes, he’s reliable and commanding, and has a nifty party piece: the ability to jog upfield and score from direct free-kicks. His fizzed belter from the edge of the box against Boulogne in 2012 was an instant YouTube classic.",Yes,No1 goalkeeper,Goalkeeper,,20,0,Monaco,Ligue 1 (France),27/10/1984,,,,
Lovre Kalinić,Croatia,"The next in the line for the No1 shirt. A 6ft 7in beast who recently added some nice sweeper-keeper moves to his repertoire. But he’s no Manuel Neuer – strangely, given his height, Kalinić has been known to struggle with crosses. Almost ended up at Aston Villa last winter, but was saved by his failure to secure a work permit.",Yes,,Goalkeeper,,4,0,Hajduk Split,Prva HNL (Croatia),03/04/1990,,,,
Ivan Vargić,Croatia,"A very decent stopper who has never had a big break at international level. Chances are he never will, given the quality of his competition. But the third-choice backup is having a better time at club level, with a move to Serie A Lazio already secured. He said an emotional farewell to Rijeka in May. “I thank everyone, everyone from the cleaning lady who kept the dressing room clean, to the physios and the office staff. Everyone made my transfer possible.”",Yes,,Goalkeeper,,2,0,Rijeka,Prva HNL (Croatia),15/03/1987,,,,
Darijo Srna,Croatia,"Captain, with a record 129 caps. Slowing down, but still effective. Has one tattoo of a footballing deer – ‘srna' in Croatian – another in tribute to older brother Igor, who has Down syndrome, and recently donated 100 laptops to Ukrainian children affected by conflict. Career highlights include scoring a 30-yard free-kick against Australia in the 2006 World Cup game which featured Graham Poll’s three-yellow card blunder. Slaven Bilić said of Srna in 2012: “They bring him down and he seems broken, but then he gets up and carries on running. Like he's Robocop.”",Yes,Legend,Defender,,129,21,Shakhtar Donetsk,Premier League (Ukraine),01/05/1982,,,,
Šime Vrsaljko,Croatia,"The player Srna used to be. A decade younger, solid defensively and dynamic going forward, he was linked with Arsenal, Juventus and Napoli last year. Most at home at right-back, but plays on the left for Croatia to make way for Srna. “The left is different,” he says. Football role models are Dani Alves and “my dad… he was a central defender too. He was hard and tough.”",Yes,,Defender,,18,0,Sassuolo,Serie A (Italy),10/01/1992,,,,
Vedran Ćorluka,Croatia,"Nicknamed Čarli (Charlie), Corluka played as a forward at youth level before settling into defence. A rock for Croatia since his debut in 2006, the former Manchester City and Spurs player is sometimes criticised for being “far too nice” and lacking aggression. In 2011 he made headlines by reacting to a nightclub waiter complimenting him on his diamond-encrusted £36,000 watch by swapping it for the man’s £150 Seiko. A source told The Sun: “The waiter thought it was a joke but it wasn’t. Charlie’s a lovely bloke. Always so polite.”",Yes,Defensive mainstay,Defender,,88,4,Lokomotiv Moscow,Premier League (Russia),05/02/1986,,,,
Domagoj Vida,Croatia,"Has plenty of what his defensive partner, Ćorluka, lacks: usually controlled aggression. Critics say that passion masks otherwise average qualities, but it serves him well. In 2012 was fined £80,000 for opening a can of beer on the Dinamo Zagreb bus on the way to a match. His coach – fed up with a series of incidents involving Vida – ordered him off the bus and left him in a lay-by. The coach’s name? Ante Čačić, the current Croatia manager.",Yes,Hard man,Defender,,37,1,Dynamo Kyiv,Premier League (Ukraine),29/04/1989,,,,
Tin Jedvaj,Croatia,"A national-level novice, but already well established in the Bundesliga. Leverkusen loaned him from Roma in 2013, and made the move permanent in January last year. He made his senior Croatia debut aged 18, playing the closing stages of a friendly against Cyprus in 2014. Father Zdenko Jedvaj, a former defender for Velež Mostar, says his boy is “a lot better than me. He’s much more intelligent, for a start.”",Yes,,Defender,,3,0,Bayer Leverkusen,Bundesliga (Germany),28/11/1995,,,,
Gordon Schildenfeld,Croatia,"Reliable back-up: an old-school defender happiest in his comfort zone - defending in the air, inside the penalty area. Of Austrian origin, his stand-out feature in Croatia is his unusual first name. Made his international debut in 2010, and scored his first goal last year, ten days after his 30th birthday. Signed for Dinamo from Dynamo Moscow last summer, via loans at PAOK and Panathinaikos. Famous for driving a distinctive Mustang Shelby GT. “This is the car I dream of” he said in 2014. “Just look: it’s like the interceptor in Mad Max. That’s why I like it.”",Yes,,Defender,,26,1,Dinamo Zagreb,Prva HNL (Croatia),18/03/1985,,,,
Ivan Strinić,Croatia,"Missed the 2014 World Cup through injury, and has been out of the reckoning ever since. Rarely plays at Napoli, who he joined from Dnipro last year, due to the form of Faouzi Ghoulam, but has made it to France as essential left-back cover. Strinić says he is content with life in Italy, despite all the bench time. “In Ukraine there’s this long war. In Naples I have a nice quiet life, and it’s much better.” Has been linked with a post-tournament move to Sampdoria.",Yes,,Defender,,34,0,Napoli,Serie A (Italy),17/07/1987,,,,
