name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Gábor Király,Hungary,"40 years old and still going strong in his trademark tracksuit bottoms. He has fond memories of group opponents Austria where his first touch in the national team – a few goal kicks aside – was saving a penalty against them in 1998. Played 104 games for Crystal Palace from 2004, and also had spells at West Ham, Villa, Burnley and Fulham. Returned to Hungary with Haladás last year. He won his 100th Hungary cap in a 1-0 win away to Norway in their 2016 qualifying play-off first-leg.",yes,No1 goalkeeper,Goalkeeper,,102,0,Haladás,National Championship (Hungary),01/04/1976,,,,
Dénes Dibusz,Hungary,"Made his debut against the Faroes in 2014, and could replace Gábor Király as first choice in the future – but not this summer. Has a degree in marketing and management from Pécs university. As a boy he knew his own mind. “We have a video from 1994 Easter when I had my first goalkeeper gloves. I can't explain how happy I was, as soon as I've put them on I started diving on our carpet. I refused to take them off even when I had to open a soda can."" Moved to Ferencváros from Pécsi in 2014.",yes,,Goalkeeper,,4,0,Ferencváros,National Championship (Hungary),16/11/1990,,,,
Péter Gulácsi,Hungary,"Failed to break into the Liverpool team after joining from MTK Budapest in 2008, and had loan spells at Hereford, Tranmere and Hull before making a permanent move to Red Bull Salzburg in 2013. Last season he won promotion with RB Leipzig. Has plenty of talent but has not come close to dislodging the keepers ahead of him in Hungary’s ranks. Won his first of two caps in 2014.",yes,,Goalkeeper,,3,0,Red Bull Leipzig,2. Bundesliga (Germany),06/05/1990,,,,
Barnabás Bese,Hungary,"Originally a right winger or striker, he developed into a promising right back - quick, tall and technically adept. Has made 95 appearances for his side MTK, and played at every national youth level from Under-17s. Yet to make his senior breakthrough, though.",yes,,Defender,,0,0,MTK,National Championship (Hungary),06/05/1994,,,,
Attila Fiola,Hungary,"Recently played as a centre-back for Puskas Academy – top-flight Videoton’s youth team - but is already the undisputed starting right back for the senior national team. Started out in football as a striker and was top scorer for the Under-15 and Under-17 sides, before finding his niche at the back. He has a dream. “I always said I have important goals. After the Euros I want to test myself, to play in England or Germany. If all goes well, maybe my dream will come true.”",yes,,Defender,,14,0,Puskás Academy,National Championship (Hungary),17/02/1990,,,,
Richárd Guzmics,Hungary,"Was ridiculed after a 2014 World Cup qualifier against Romania where he teed up the openerl for Hungary’s arch rival in the second minute. “I made a mistake, a bad mistake, I’m so sorry,” he said. “But I cannot change it now.” After that he didn’t play again for the national team for over a year, but has since become one of the most reliable defensive options.",yes,Unsung hero,Defender,,13,1,Wisla Krakow,Ekstraklasa (Poland),16/04/1987,,,,
Tamás Kádár,Hungary,"Attack-minded left back who spent four years at Newcastle from 2008 after being spotted by Sam Allardyce, and can play in any defensive position. After 13 appearances under Kevin Keegan, Joe Kinnear, Chris Hughton, Alan Shearer and Alan Pardew, and a brief loan at Huddersfield, he moved to Roda in the Netherlands, then Hungary’s Diósgyőri, and spent last season on the left wing at Poland’s Lech Poznań. Made his first senior international appearance in 2010.",yes,Defensive mainstay,Defender,,29,0,Lech Poznan,Ekstraklasa (Poland),14/03/1990,,,,
Mihály Korhut,Hungary,"In the squad to provide a reliable left-back back-up to Tamás Kádár. Good with the ball, he won the Hungarian league and cup double with Debreceni in 2012. Made his Hungary debut in 2014 against Denmark.",yes,,Defender,,4,0,Debreceni VSC,National Championship (Hungary),01/12/1988,,,,
Roland Juhász,Hungary,"Started his career as a striker, only to end up as a centre-back and defensive lynchpin for his country. Missed the first leg of the qualification play-offs through suspension, which put his first-choice status under threat in France. Played 207 games for Anderlecht and was linked with Rangers, Celtic and Sunderland before agreeing a move back to his home country in 2013. In 2011 he began providing financial backing for Hungary’s Childhood Foundation, set up to supply up-to-date equipment to Hungarian paediatric hospitals.",yes,,Defender,,91,6,Videoton,National Championship (Hungary),01/07/1983,,,,
Ádám Lang,Hungary,"Quick, strong and reliable, but struggles with carrying the ball out of defence and starting attacks. He impressed in the qualification play-offs, though, and has been tipped to take big strides forward in France. Joined Videoton from Győr in 2015, and won his first Hungary cap in 2014.",yes,,Defender,,10,0,Videoton,National Championship (Hungary),17/01/1993,,,,
Balázs Dzsudzsák,Hungary,"Hungary’s star man – it all revolves around him. Scored a beautiful free kick in Bucharest against Romania in qualifying, becoming the first Hungarian to score an away goal against the arch rivals for 42 years. Mainly a left winger, he is the team’s most technically gifted player. Joined Bursaspor from Dynamo Moscow last year, and appeared on the cover of Fifa 14 in Hungary.",yes,Star man,Forward,,77,18,Bursaspor,Süper Lig (Turkey),23/12/1986,,,,
Ákos Elek,Hungary,"Tireless defensive midfielder who returned to the Hungarian championship from China’s Changchun Yatai earlier this year to make sure of his place in the squad for France. Suffered a pre-tournament scare when he sustained a knee injury, meaning he missed some of the build-up. Has won 38 caps since his first appearance in 2010.",yes,,Midfielder,,38,1,Diósgyőri VTK,National Championship (Hungary),21/07/1988,,,,
Zoltán Gera,Hungary,"Attacking midfielder who spent ten years with West Brom and Fulham, helping the latter reach the Europa League final. In 2014 he returned to Hungary with Ferencváros, playing an instrumental role in their league-winning side. Plays deeper for the national side. He briefly retired from international football in 2009 after a row with then-coach Erwin Koeman, denying it was “a headstrong decision” - then made a quick comeback when Koeman was sacked.",yes,,Midfielder,,88,24,Ferencváros,National Championship (Hungary),22/04/1979,,,,
László Kleinheisler,Hungary,"Because of a contract dispute Kleinheisler didn’t play a single minute for his former club Videoton in the first part of last season, so he was a surprise call-up to face Norway in the qualification play-offs. He repaid Bernd Storck’s trust and scored an important debut goal. Joined Werder Bremen for an undisclosed fee in January. Nicknamed Scholes in tribute to his hair, with former coach Benczés Miklós extending the comparison: “This Scholes is also strong, full-blooded, attack-minded, good with the ball and without. Such a dynamic operator.”",yes,,Midfielder,,4,1,Werder Bremen,Bundesliga (Germany),08/04/1994,,,,
