name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Aiden McGeady,Ireland,"Glasgow-born winger, who worked under Martin O'Neill at Celtic, he fell from favour at Everton this season and moved on loan to Sheffield Wednesday in February, in order to gain regular minutes. Scored both goals in the 2-1 qualifying win in Georgia, including a 90th minute winner.",yes,,Midfielder,,81,5,Sheffield Wednesday,Championship (England),04/04/1986,,,,
Ciaran Clark,Ireland,"Represented England at under-17 to under-20 level, the Essex-born central defender declared for Ireland in 2010 and was immediately called up by Giovanni Trapattoni. A product of the Aston Villa academy, he made his debut for the club at 19 and has remained a one-club man.",yes,,Defender,,18,2,Aston Villa,Premier League (England),26/09/1989,,,,
Cyrus Christie,Ireland,"A right-back who loves to get forward, his performance in the 1-0 win over Germany in qualification was the stuff that cult heroes are made of. Scored in the away win over Gibraltar. The back-up to Seamus Coleman.",yes,,Defender,,4,1,Derby County,Championship (England),30/09/1992,,,,
Darren Randolph,Ireland,"He was brought on – surprisingly, ahead of David Forde – when Shay Given was injured in the 1-0 home win over Germany during qualification and he has not since looked back. The back-up to Adrian at West Ham United, playing mainly in the cups, he has established himself as his country's No1.",yes,No1 goalkeeper,Goalkeeper,,9,0,West Ham United,Premier League (England),12/05/1987,,,,
Daryl Murphy,Ireland,"Can play on the left, and has done so many times, but he is much happier as a No 9. His career has been stop-start, with a lot of moves but he has settled at Ipswich Town. Was the top scorer in the Championship in 2014-15 with 27 goals.",yes,,Forward,,20,0,Ipswich Town,Championship (England),15/03/1983,,,,
David Meyler,Ireland,"Ultra-competitive midfielder, who has overcome serious injury problems, he can also provide an option for Martin O'Neill at right-back. The son of the hurling manager, John Meyler, he played hurling and Gaelic football as a boy.",yes,,Midfielder,,14,0,Hull City,Championship (England),29/05/1989,,,,
Glenn Whelan,Ireland,"Tough tackler, who screens the back four and organises the team, the Stoke City midfielder has been a regular since Giovanni Trapattoni called him into his first squad in May 2008. Worked his way back up the divisions after leaving his first club, Manchester City.",yes,Unsung hero,Midfielder,,71,2,Stoke City,Premier League (England),13/01/1984,,,,
James McCarthy,Ireland,"Born and raised in Glasgow, his decision to declare for Ireland – the country of his grandfather's birth – as a 16-year-old created a storm in Scotland. Made his professional debut at 15 for Hamilton Academical, the box-to-box midfielder is regarded as one of Ireland's biggest talents.",yes,,Midfielder,,35,0,Everton,Premier League (England),12/11/1990,,,,
James McClean,Ireland,"The Derry-born winger represented Northern Ireland at under-21 level before he declared for the Republic. Given his Premier League debut by Martin O'Neill at Sunderland, he is quick and loves to run at defenders.",yes,,Midfielder,,39,5,West Bromwich Albion,Premier League (England),22/04/1989,,,,
Jeff Hendrick,Ireland,"Emerged at St Kevin's Boys in Dublin, where he played alongside Robbie Brady from the age of six, the energetic midfielder crossed to Derby County as a trainee and he has made his mark there. Provided crucial assists in the 1-1 qualifying draw in Germany and the 1-0 home win over Georgia.",yes,,Midfielder,,21,0,Derby County,Championship (England),31/01/1992,,,,
