id,campaign,audience,timestamp,interaction_type,interaction_key,interaction_value
0,5,539,2017-04-03 18:06:23,clickthrough,url,www.ourwebsite.com/page2
0,5,539,2017-04-03 18:12:23,clickthrough,referral,www.google.com
1,5,539,2017-04-03 18:18:23,browse,product_id,175211439308
1,5,539,2017-04-03 18:23:23,browse,duration,4
2,5,539,2017-04-03 18:32:23,browse,product_id,104553406468
2,5,539,2017-04-03 18:39:23,browse,duration,3
3,5,539,2017-04-03 18:49:23,browse,product_id,118675935929
3,5,539,2017-04-03 18:58:23,browse,duration,8
4,5,539,2017-04-03 19:06:23,browse,product_id,192291742391
4,5,539,2017-04-03 19:08:23,browse,duration,5
5,5,539,2017-04-03 19:16:23,browse,product_id,184636131970
5,5,539,2017-04-03 19:17:23,browse,duration,10
6,5,539,2017-04-03 19:17:23,browse,product_id,155661081707
6,5,539,2017-04-03 19:22:23,browse,duration,8
7,7,903,2017-04-05 12:17:43,clickthrough,url,www.ourwebsite.com/page2
7,7,903,2017-04-05 12:19:43,clickthrough,referral,www.otherwebsite.com
8,9,400,2017-04-08 01:24:05,clickthrough,url,www.ourwebsite.com/page1
8,9,400,2017-04-08 01:33:05,clickthrough,referral,www.referralwebsite.com
9,9,400,2017-04-08 01:34:05,browse,product_id,121259905065
9,9,400,2017-04-08 01:36:05,browse,duration,9
10,9,400,2017-04-08 01:37:05,browse,product_id,164451986229
10,9,400,2017-04-08 01:41:05,browse,duration,4
11,9,400,2017-04-08 01:49:05,browse,product_id,118675935929
11,9,400,2017-04-08 01:51:05,browse,duration,3
12,9,400,2017-04-08 01:52:05,browse,product_id,131625732236
12,9,400,2017-04-08 02:00:05,browse,duration,4
13,9,400,2017-04-08 02:05:05,browse,product_id,159929577929
13,9,400,2017-04-08 02:14:05,browse,duration,3
14,9,400,2017-04-08 02:21:05,browse,product_id,189648453939
14,9,400,2017-04-08 02:22:05,browse,duration,8
15,9,400,2017-04-08 02:32:05,browse,product_id,188156753317
15,9,400,2017-04-08 02:36:05,browse,duration,7
16,9,400,2017-04-08 02:39:05,browse,product_id,118229850449
16,9,400,2017-04-08 02:46:05,browse,duration,7
17,4,509,2017-04-16 13:28:00,clickthrough,url,www.ourwebsite.com/page3
17,4,509,2017-04-16 13:36:00,clickthrough,referral,www.otherwebsite.com
18,4,509,2017-04-16 13:41:00,browse,product_id,186880256583
18,4,509,2017-04-16 13:45:00,browse,duration,3
19,4,509,2017-04-16 13:50:00,browse,product_id,143325197317
19,4,509,2017-04-16 13:59:00,browse,duration,6
20,4,509,2017-04-16 14:05:00,browse,product_id,120334390616
20,4,509,2017-04-16 14:13:00,browse,duration,9
21,4,509,2017-04-16 14:19:00,browse,product_id,188313615578
21,4,509,2017-04-16 14:19:00,browse,duration,5
22,9,476,2017-04-08 01:24:05,clickthrough,url,www.ourwebsite.com/page2
22,9,476,2017-04-08 01:28:05,clickthrough,referral,www.google.com
23,9,476,2017-04-08 01:33:05,browse,product_id,132304402752
23,9,476,2017-04-08 01:34:05,browse,duration,2
24,9,476,2017-04-08 01:44:05,browse,product_id,106455227436
24,9,476,2017-04-08 01:49:05,browse,duration,8
25,9,476,2017-04-08 01:52:05,browse,product_id,184636131970
25,9,476,2017-04-08 01:55:05,browse,duration,6
26,9,476,2017-04-08 02:03:05,browse,product_id,141781173051
26,9,476,2017-04-08 02:07:05,browse,duration,10
27,9,476,2017-04-08 02:12:05,browse,product_id,167784852301
27,9,476,2017-04-08 02:12:05,browse,duration,6
28,9,476,2017-04-08 02:16:05,browse,product_id,155661081707
28,9,476,2017-04-08 02:18:05,browse,duration,8
29,9,476,2017-04-08 02:19:05,browse,product_id,131625732236
29,9,476,2017-04-08 02:26:05,browse,duration,2
30,8,62,2017-04-02 06:53:24,clickthrough,url,www.ourwebsite.com/page2
30,8,62,2017-04-02 06:59:24,clickthrough,referral,www.google.com
31,8,62,2017-04-02 07:00:24,browse,product_id,182893602000
31,8,62,2017-04-02 07:07:24,browse,duration,8
32,8,62,2017-04-02 07:09:24,browse,product_id,155661081707
32,8,62,2017-04-02 07:09:24,browse,duration,7
33,8,62,2017-04-02 07:12:24,browse,product_id,101591922267
33,8,62,2017-04-02 07:19:24,browse,duration,10
34,8,62,2017-04-02 07:24:24,browse,product_id,101591922267
34,8,62,2017-04-02 07:30:24,browse,duration,4
35,9,181,2017-04-08 01:24:05,clickthrough,url,www.ourwebsite.com/page3
35,9,181,2017-04-08 01:24:05,clickthrough,referral,www.google.com
36,9,181,2017-04-08 01:33:05,browse,product_id,195722202378
36,9,181,2017-04-08 01:39:05,browse,duration,5
37,9,181,2017-04-08 01:46:05,browse,product_id,159929577929
37,9,181,2017-04-08 01:47:05,browse,duration,2
38,9,181,2017-04-08 01:53:05,browse,product_id,101166955093
38,9,181,2017-04-08 01:57:05,browse,duration,3
39,9,181,2017-04-08 02:03:05,browse,product_id,186880256583
39,9,181,2017-04-08 02:12:05,browse,duration,4
40,7,700,2017-04-05 12:17:43,clickthrough,url,www.ourwebsite.com/page2
40,7,700,2017-04-05 12:25:43,clickthrough,referral,www.otherwebsite.com
41,7,700,2017-04-05 12:33:43,browse,product_id,160410725471
41,7,700,2017-04-05 12:36:43,browse,duration,10
42,7,700,2017-04-05 12:46:43,browse,product_id,175211439308
42,7,700,2017-04-05 12:47:43,browse,duration,7
43,7,700,2017-04-05 12:57:43,browse,product_id,188313615578
43,7,700,2017-04-05 13:02:43,browse,duration,5
44,7,700,2017-04-05 13:10:43,browse,product_id,134937796642
44,7,700,2017-04-05 13:13:43,browse,duration,9
45,7,700,2017-04-05 13:14:43,browse,product_id,141781173051
45,7,700,2017-04-05 13:15:43,browse,duration,8
46,7,700,2017-04-05 13:24:43,browse,product_id,144951251826
46,7,700,2017-04-05 13:26:43,browse,duration,2
47,7,700,2017-04-05 13:31:43,browse,product_id,144951251826
47,7,700,2017-04-05 13:39:43,browse,duration,7
48,7,700,2017-04-05 13:43:43,browse,product_id,186880256583
48,7,700,2017-04-05 13:51:43,browse,duration,7
49,7,700,2017-04-05 13:59:43,browse,product_id,167784852301
49,7,700,2017-04-05 14:05:43,browse,duration,9
50,7,700,2017-04-05 14:05:43,browse,product_id,187071644897
50,7,700,2017-04-05 14:06:43,browse,duration,3
51,7,700,2017-04-05 14:09:43,add,product_id,160410725471
52,7,700,2017-04-05 14:16:43,add,product_id,175211439308
53,7,700,2017-04-05 14:25:43,add,product_id,188313615578
54,7,700,2017-04-05 14:32:43,abandon,cart_contents,160410725471;175211439308;188313615578
54,7,606,2017-04-05 12:17:43,clickthrough,url,www.ourwebsite.com/page2
54,7,606,2017-04-05 12:25:43,clickthrough,referral,www.google.com
55,7,606,2017-04-05 12:29:43,browse,product_id,131841112651
55,7,606,2017-04-05 12:35:43,browse,duration,3
56,7,606,2017-04-05 12:40:43,browse,product_id,115153344249
56,7,606,2017-04-05 12:41:43,browse,duration,10
57,7,606,2017-04-05 12:44:43,browse,product_id,193519225127
57,7,606,2017-04-05 12:45:43,browse,duration,3
58,7,606,2017-04-05 12:53:43,browse,product_id,195722202378
58,7,606,2017-04-05 12:56:43,browse,duration,8
59,7,606,2017-04-05 12:59:43,browse,product_id,191211760776
59,7,606,2017-04-05 13:07:43,browse,duration,2
60,7,606,2017-04-05 13:17:43,browse,product_id,101166955093
60,7,606,2017-04-05 13:18:43,browse,duration,9
61,7,606,2017-04-05 13:26:43,browse,product_id,167784852301
61,7,606,2017-04-05 13:34:43,browse,duration,10
62,7,606,2017-04-05 13:43:43,browse,product_id,160410725471
62,7,606,2017-04-05 13:53:43,browse,duration,9
63,7,606,2017-04-05 13:59:43,browse,product_id,188160550480
63,7,606,2017-04-05 14:07:43,browse,duration,9
64,7,606,2017-04-05 14:14:43,browse,product_id,167958516470
64,7,606,2017-04-05 14:21:43,browse,duration,10
65,7,606,2017-04-05 14:31:43,add,product_id,131841112651
66,7,606,2017-04-05 14:41:43,add,product_id,115153344249
67,7,606,2017-04-05 14:47:43,abandon,cart_contents,131841112651;115153344249
67,7,237,2017-04-05 12:17:43,clickthrough,url,www.ourwebsite.com/page2
67,7,237,2017-04-05 12:24:43,clickthrough,referral,www.referralwebsite.com
68,7,237,2017-04-05 12:34:43,browse,product_id,186880256583
68,7,237,2017-04-05 12:42:43,browse,duration,10
69,7,237,2017-04-05 12:42:43,browse,product_id,188814001578
69,7,237,2017-04-05 12:42:43,browse,duration,5
70,7,237,2017-04-05 12:44:43,browse,product_id,172916175812
70,7,237,2017-04-05 12:44:43,browse,duration,6
71,7,237,2017-04-05 12:47:43,browse,product_id,172916175812
71,7,237,2017-04-05 12:53:43,browse,duration,10
72,7,237,2017-04-05 13:00:43,browse,product_id,172916175812
72,7,237,2017-04-05 13:02:43,browse,duration,2
73,7,237,2017-04-05 13:10:43,browse,product_id,101591922267
73,7,237,2017-04-05 13:13:43,browse,duration,4
74,7,237,2017-04-05 13:13:43,browse,product_id,109343951269
74,7,237,2017-04-05 13:21:43,browse,duration,10
75,7,237,2017-04-05 13:29:43,browse,product_id,148979734999
75,7,237,2017-04-05 13:39:43,browse,duration,6
76,6,275,2017-04-02 00:41:58,clickthrough,url,www.ourwebsite.com/page3
76,6,275,2017-04-02 00:45:58,clickthrough,referral,www.google.com
77,6,275,2017-04-02 00:55:58,browse,product_id,115153344249
77,6,275,2017-04-02 01:05:58,browse,duration,7
78,6,275,2017-04-02 01:08:58,browse,product_id,186880256583
78,6,275,2017-04-02 01:13:58,browse,duration,3
79,6,275,2017-04-02 01:19:58,browse,product_id,187282230672
79,6,275,2017-04-02 01:24:58,browse,duration,2
80,6,275,2017-04-02 01:26:58,browse,product_id,167784852301
80,6,275,2017-04-02 01:27:58,browse,duration,3
81,6,275,2017-04-02 01:31:58,browse,product_id,118675935929
81,6,275,2017-04-02 01:32:58,browse,duration,8
82,6,275,2017-04-02 01:38:58,browse,product_id,182893602000
82,6,275,2017-04-02 01:39:58,browse,duration,4
83,6,275,2017-04-02 01:43:58,browse,product_id,184636131970
83,6,275,2017-04-02 01:48:58,browse,duration,2
84,3,422,2017-04-02 13:00:47,clickthrough,url,www.ourwebsite.com/page2
84,3,422,2017-04-02 13:04:47,clickthrough,referral,www.google.com
85,6,583,2017-04-02 00:41:58,clickthrough,url,www.ourwebsite.com/page2
85,6,583,2017-04-02 00:51:58,clickthrough,referral,www.google.com
86,6,583,2017-04-02 00:57:58,browse,product_id,155661081707
86,6,583,2017-04-02 01:03:58,browse,duration,9
87,6,583,2017-04-02 01:13:58,browse,product_id,118229850449
87,6,583,2017-04-02 01:21:58,browse,duration,2
88,6,583,2017-04-02 01:29:58,browse,product_id,148979734999
88,6,583,2017-04-02 01:33:58,browse,duration,10
89,6,583,2017-04-02 01:39:58,browse,product_id,164451986229
89,6,583,2017-04-02 01:43:58,browse,duration,4
90,6,583,2017-04-02 01:43:58,add,product_id,155661081707
91,6,583,2017-04-02 01:51:58,add,product_id,118229850449
92,6,583,2017-04-02 01:55:58,add,product_id,148979734999
93,6,583,2017-04-02 01:58:58,abandon,cart_contents,155661081707;118229850449;148979734999
93,10,441,2017-04-15 15:10:28,clickthrough,url,www.ourwebsite.com/page1
93,10,441,2017-04-15 15:16:28,clickthrough,referral,www.referralwebsite.com
94,10,441,2017-04-15 15:26:28,browse,product_id,115153344249
94,10,441,2017-04-15 15:28:28,browse,duration,8
95,10,441,2017-04-15 15:36:28,browse,product_id,195722202378
95,10,441,2017-04-15 15:42:28,browse,duration,10
96,10,441,2017-04-15 15:42:28,browse,product_id,159929577929
96,10,441,2017-04-15 15:43:28,browse,duration,3
97,10,441,2017-04-15 15:50:28,browse,product_id,195722202378
97,10,441,2017-04-15 15:59:28,browse,duration,10
98,10,441,2017-04-15 16:08:28,browse,product_id,195722202378
98,10,441,2017-04-15 16:10:28,browse,duration,10
99,10,441,2017-04-15 16:16:28,browse,product_id,141781173051
99,10,441,2017-04-15 16:23:28,browse,duration,8
100,10,441,2017-04-15 16:26:28,browse,product_id,141628768843
100,10,441,2017-04-15 16:30:28,browse,duration,6
101,10,441,2017-04-15 16:35:28,browse,product_id,106455227436
101,10,441,2017-04-15 16:35:28,browse,duration,10
102,10,441,2017-04-15 16:44:28,browse,product_id,109343951269
102,10,441,2017-04-15 16:45:28,browse,duration,9
103,10,441,2017-04-15 16:52:28,add,product_id,115153344249
104,10,441,2017-04-15 16:53:28,add,product_id,195722202378
105,10,441,2017-04-15 16:53:28,add,product_id,159929577929
106,10,441,2017-04-15 16:56:28,add,product_id,195722202378
107,10,441,2017-04-15 17:01:28,abandon,cart_contents,115153344249;195722202378;159929577929;195722202378
107,8,57,2017-04-02 06:53:24,clickthrough,url,www.ourwebsite.com/page2
107,8,57,2017-04-02 07:03:24,clickthrough,referral,www.referralwebsite.com
108,9,781,2017-04-08 01:24:05,clickthrough,url,www.ourwebsite.com/page3
108,9,781,2017-04-08 01:31:05,clickthrough,referral,www.referralwebsite.com
109,9,781,2017-04-08 01:34:05,browse,product_id,144951251826
109,9,781,2017-04-08 01:40:05,browse,duration,10
110,9,781,2017-04-08 01:48:05,browse,product_id,115153344249
110,9,781,2017-04-08 01:52:05,browse,duration,3
111,9,781,2017-04-08 01:54:05,browse,product_id,187282230672
111,9,781,2017-04-08 02:02:05,browse,duration,3
112,9,781,2017-04-08 02:12:05,browse,product_id,188156753317
112,9,781,2017-04-08 02:20:05,browse,duration,4
113,9,781,2017-04-08 02:24:05,browse,product_id,142256336352
113,9,781,2017-04-08 02:31:05,browse,duration,2
114,9,781,2017-04-08 02:37:05,browse,product_id,141781173051
114,9,781,2017-04-08 02:46:05,browse,duration,9
115,9,781,2017-04-08 02:52:05,browse,product_id,167784852301
115,9,781,2017-04-08 02:54:05,browse,duration,4
116,9,781,2017-04-08 03:01:05,browse,product_id,132304402752
116,9,781,2017-04-08 03:08:05,browse,duration,6
117,9,781,2017-04-08 03:18:05,browse,product_id,175211439308
117,9,781,2017-04-08 03:21:05,browse,duration,8
118,1,307,2017-04-07 04:07:45,clickthrough,url,www.ourwebsite.com/page1
118,1,307,2017-04-07 04:07:45,clickthrough,referral,www.referralwebsite.com
119,8,726,2017-04-02 06:53:24,clickthrough,url,www.ourwebsite.com/page1
119,8,726,2017-04-02 06:53:24,clickthrough,referral,www.google.com
120,8,726,2017-04-02 07:02:24,browse,product_id,186880256583
120,8,726,2017-04-02 07:06:24,browse,duration,3
121,8,726,2017-04-02 07:13:24,browse,product_id,159929577929
121,8,726,2017-04-02 07:23:24,browse,duration,6
122,8,726,2017-04-02 07:28:24,browse,product_id,141781173051
122,8,726,2017-04-02 07:34:24,browse,duration,7
123,8,726,2017-04-02 07:36:24,browse,product_id,132304402752
123,8,726,2017-04-02 07:41:24,browse,duration,2
124,8,726,2017-04-02 07:51:24,browse,product_id,121259905065
124,8,726,2017-04-02 08:00:24,browse,duration,9
125,8,726,2017-04-02 08:04:24,browse,product_id,141781173051
125,8,726,2017-04-02 08:05:24,browse,duration,5
126,8,726,2017-04-02 08:06:24,browse,product_id,144951251826
126,8,726,2017-04-02 08:16:24,browse,duration,6
127,8,726,2017-04-02 08:24:24,browse,product_id,160410725471
127,8,726,2017-04-02 08:34:24,browse,duration,6
128,4,401,2017-04-16 13:28:00,clickthrough,url,www.ourwebsite.com/page3
128,4,401,2017-04-16 13:29:00,clickthrough,referral,www.google.com
129,4,401,2017-04-16 13:34:00,browse,product_id,167784852301
129,4,401,2017-04-16 13:42:00,browse,duration,10
130,4,401,2017-04-16 13:42:00,browse,product_id,195722202378
130,4,401,2017-04-16 13:47:00,browse,duration,8
131,4,401,2017-04-16 13:55:00,browse,product_id,172916175812
131,4,401,2017-04-16 13:59:00,browse,duration,7
132,4,401,2017-04-16 14:06:00,browse,product_id,132362551004
132,4,401,2017-04-16 14:15:00,browse,duration,5
133,4,401,2017-04-16 14:24:00,browse,product_id,172916175812
133,4,401,2017-04-16 14:25:00,browse,duration,3
134,4,401,2017-04-16 14:27:00,browse,product_id,159929577929
134,4,401,2017-04-16 14:32:00,browse,duration,2
